headlines,terms,dates
trump blasts attempts to remove confederate statues as 'censorship',trump,2020-06-21
"earthquake strikes oklahoma after tulsa trump rally, shaking felt around state",trump,2020-06-21
senior adviser for trump campaign on empty seats at tulsa rally: protesters had 'an impact',trump,2020-06-21
trump rips media coverage of west point ramp walk at tulsa rally,trump,2020-06-21
rudy giuliani says trump may have fired us attorney over ‘bullsh--’ investigations: report,trump,2020-06-21
andrew mccarthy: trump's supreme court list – 2016 battle plan may not work this year,trump,2020-06-21
"trump confirms new visa restrictions coming, sounds off on protesters in fnc interview",trump,2020-06-21
"john oliver mocked trump in 2017 for predicting removal of washington, jefferson statues",trump,2020-06-21
"trump campaign rejects claims that tiktok, k-pop fans sabotaged rally: 'don't know what they're talking about'",trump,2020-06-21
tom petty's family issues cease and desist to trump campaign after song was played at tulsa rally,trump,2020-06-21
aoc gloats that trump’s tulsa turnout was sabotaged by ‘teens on tiktok’,trump,2020-06-21
rep. zeldin on media backlash over crowd size of president trump's campaign rally in oklahoma,trump,2020-06-21
"charlie kirk says trump's tulsa rally shows he's back: 'good luck,' joe biden",trump,2020-06-21
"press trashes trump rally, campaign blames fake news",trump,2020-06-22
joe biden agrees to three debates as trump team pushes for more,trump,2020-06-22
lewandowski takes swipe at trump campaign over tulsa rally crowd size,trump,2020-06-22
steve hilton: why a second trump term is so important,trump,2020-06-22
trump campaign slams media over tulsa rally turnout,trump,2020-06-22
dreamers react to supreme court decision as president trump vows action,trump,2020-06-22
kt mcfarland: trump and bolton – this is when i knew it wasn't going to end well,trump,2020-06-22
henry winkler seemingly mocks president trump with water-drinking video,trump,2020-06-22
thousands of boaters rally for trump in north carolina parade,trump,2020-06-22
trump campaign says fire marshal's count for tulsa rally attendance was 'wrong',trump,2020-06-22
trump visiting arizona to mark milestone of 200 miles of border wall construction,trump,2020-06-22
"trump urges aoc to run against schumer, says she’d win",trump,2020-06-22
"trump blasts nfl, roger goodell again at oklahoma rally",trump,2020-06-22
trump endorsements cause uproar in new hampshire gop primaries,trump,2020-06-22
"trump defends coronavirus testing comment, says more tests make 'us look like we have more cases'",trump,2020-06-22
joe concha: biden cannot withstand a press conference like trump's with no ground rules,trump,2020-06-22
"juan williams calls tulsa rally 'embarrassment' for trump, bongino compares biden event to 'pinochle game'",trump,2020-06-22
"biden campaign agrees to 3 general election debates, slams trump team for seeking more",trump,2020-06-22
"peter navarro declares trade deal between trump, china is 'over' - fox news",trump,2020-06-23
"sean hannity to host town hall with president trump on thursday, june 25",trump,2020-06-23
"president trump shifts focus to border security, tours border wall in arizona",trump,2020-06-23
trump jr. trolls by suggesting torn-down statues should be replaced with a 'more sturdy statue' of his father,trump,2020-06-23
